"","group","FP","Power","order","rank","YJ"
"1",1,0.166666666666667,0.913333333333333,"decreasing",1,0.746666666666667
"2",2,0.113333333333333,0.983333333333333,"decreasing",2,0.87
"3",3,0.37,0.89,"decreasing",3,0.52
"4",4,0.0666666666666667,0.93,"decreasing",4,0.863333333333333
"5",5,0.13,0.976666666666667,"decreasing",5,0.846666666666667
"6",6,0.0533333333333333,1,"decreasing",6,0.946666666666667
"7",7,0.0833333333333333,1,"decreasing",7,0.916666666666667
"8",8,0.13,1,"decreasing",8,0.87
"9",9,0.0966666666666667,1,"decreasing",9,0.903333333333333
"10",10,0.14,1,"decreasing",10,0.86
"11",11,0.19,1,"decreasing",11,0.81
"12",12,0.196666666666667,1,"decreasing",12,0.803333333333333
"13",13,0.263333333333333,1,"decreasing",13,0.736666666666667
"14",14,0.226666666666667,1,"decreasing",14,0.773333333333333
"15",15,0.18,1,"decreasing",15,0.82
"16",16,0.22,1,"decreasing",16,0.78
"17",17,0.203333333333333,1,"decreasing",17,0.796666666666667
"18",18,0.156666666666667,1,"decreasing",18,0.843333333333333
"19",19,0.186666666666667,1,"decreasing",19,0.813333333333333
"20",20,0.133333333333333,1,"decreasing",20,0.866666666666667
"21",21,0.126666666666667,1,"decreasing",21,0.873333333333333
"22",22,0.163333333333333,1,"decreasing",22,0.836666666666667
"23",23,0.15,1,"decreasing",23,0.85
"24",24,0.17,1,"decreasing",24,0.83
"25",25,0.12,1,"decreasing",25,0.88
"26",26,0.0966666666666667,0.0766666666666667,"increasing",1,-0.02
"27",27,0.146666666666667,0.4,"increasing",2,0.253333333333333
"28",28,0.18,0.523333333333333,"increasing",3,0.343333333333333
"29",29,0.306666666666667,0.53,"increasing",4,0.223333333333333
"30",30,0.423333333333333,0.57,"increasing",5,0.146666666666667
"31",31,0.353333333333333,0.64,"increasing",6,0.286666666666667
"32",32,0.426666666666667,0.583333333333333,"increasing",7,0.156666666666667
"33",33,0.4,0.78,"increasing",8,0.38
"34",34,0.41,0.766666666666667,"increasing",9,0.356666666666667
"35",35,0.413333333333333,0.816666666666667,"increasing",10,0.403333333333333
"36",36,0.43,0.873333333333333,"increasing",11,0.443333333333333
"37",37,0.35,0.93,"increasing",12,0.58
"38",38,0.393333333333333,0.953333333333333,"increasing",13,0.56
"39",39,0.25,0.96,"increasing",14,0.71
"40",40,0.28,0.96,"increasing",15,0.68
"41",41,0.18,0.976666666666667,"increasing",16,0.796666666666667
"42",42,0.17,0.976666666666667,"increasing",17,0.806666666666667
"43",43,0.183333333333333,1,"increasing",18,0.816666666666667
"44",44,0.213333333333333,1,"increasing",19,0.786666666666667
"45",45,0.173333333333333,1,"increasing",20,0.826666666666667
"46",46,0.113333333333333,1,"increasing",21,0.886666666666667
"47",47,0.186666666666667,1,"increasing",22,0.813333333333333
"48",48,0.1,1,"increasing",23,0.9
"49",49,0.0933333333333333,1,"increasing",24,0.906666666666667
"50",50,0.123333333333333,1,"increasing",25,0.876666666666667
