"Informedness","Species","Code","taxa_name","binomial","rank"
0.789,"California Sheephead",39,"California Sheephead","Semicossyphus pulcher",28
0.767,"Balanophyllia",19,"Balanophyllia","Balanophyllia elegans",27
0.761,"Astrangia",20,"Astrangia","Astrangia lajollaensis",26
0.738,"Black Surfperch",27,"Black Surfperch","Embiotoca jacksoni",25
0.717,"Red urchin",3,"Red urchin","Mesocentrotus franciscanus",24
0.699,"Corynactis",18,"Corynactis","Corynactis californica",23
0.687,"P. giganteus",10,"P. giganteus","Pisaster giganteus",22
0.608,"Patiria",11,"Patiria","Patiria miniata",21
0.597,"Garibaldi",31,"Garibaldi","Hypsypops rubicundus",20
0.579,"Megathura",12,"Megathura","Megathura crenulata",19
0.574,"Pile Perch",35,"Pile Perch","Rhacochilus vacca",18
0.538,"Kelp Bass",34,"Kelp Bass","Paralabrax clathratus",17
0.53,"Serpulorbis",23,"Serpulorbis","Serpulorbis squamigerus",16
0.512,"Diopatra",21,"Diopatra","Diopatra ornata",15
0.478,"Blacksmith",25,"Blacksmith","Chromis punctipinnis",14
0.452,"Purple urchin",2,"Purple urchin","Strongylocentrotus purpuratus",13
0.451,"Kelp Rockfish",36,"Kelp Rockfish","Sebastes atrovirens",12
0.414,"Opaleye",29,"Opaleye","Girella nigricans",11
0.369,"Pycnopodia",5,"Pycnopodia","Pycnopodia helianthoides",10
0.368,"Senorita",33,"Senorita","Oxyjulis californica",9
0.323,"Olive Rockfish",38,"Olive Rockfish","Sebastes serranoides",8
0.274,"Macrocystis",1,"Macrocystis","Macrocystis pyrifera",7
0.246,"Cystoseira",17,"Cystoseira","Cystoseira osmundacea",6
0.199,"Lithopoma",8,"Lithopoma","Megastraea undosa",5
0.131,"Desmarestia",16,"Desmarestia","Desmarestia ligulata",4
0.119,"Eisenia",9,"Eisenia","Eisenia arborea",3
0.117,"Pterygophora",4,"Pterygophora","Pterygophora californica",2
0.075,"Phragmatopoma",22,"Phragmatopoma","Phragmatopoma californica",1
