"","group","severity","variable","value","domain","taxa_group","taxa_name"
"1","count","+4x impact","significant & negative",0.0293333333333333,"quart","algae","all algae"
"2","count","no impact","significant & negative",0.152333333333333,"quart","algae","all algae"
"3","count","-4x impact","significant & negative",0.700333333333333,"quart","algae","all algae"
"4","count","+4x impact","significant & negative",0,"quart","mobile Invert","all mobile Inverts"
"5","count","no impact","significant & negative",0.107,"quart","mobile Invert","all mobile Inverts"
"6","count","-4x impact","significant & negative",0.998333333333333,"quart","mobile Invert","all mobile Inverts"
"7","count","+4x impact","significant & negative",0,"quart","fish","all fish"
"8","count","no impact","significant & negative",0.0296666666666667,"quart","fish","all fish"
"9","count","-4x impact","significant & negative",0.997333333333333,"quart","fish","all fish"
"10","point contact","+4x impact","significant & negative",0.00466666666666667,"quart","sessile invert","all sessile inverts"
"11","point contact","no impact","significant & negative",0.093,"quart","sessile invert","all sessile inverts"
"12","point contact","-4x impact","significant & negative",0.980333333333333,"quart","sessile invert","all sessile inverts"
"13","count","+4x impact","significant & positive",0.704333333333333,"quart","algae","all algae"
"14","count","no impact","significant & positive",0.205333333333333,"quart","algae","all algae"
"15","count","-4x impact","significant & positive",0.0133333333333333,"quart","algae","all algae"
"16","count","+4x impact","significant & positive",0.896333333333333,"quart","mobile Invert","all mobile Inverts"
"17","count","no impact","significant & positive",0.0373333333333333,"quart","mobile Invert","all mobile Inverts"
"18","count","-4x impact","significant & positive",0,"quart","mobile Invert","all mobile Inverts"
"19","count","+4x impact","significant & positive",0.995333333333333,"quart","fish","all fish"
"20","count","no impact","significant & positive",0.0653333333333333,"quart","fish","all fish"
"21","count","-4x impact","significant & positive",0,"quart","fish","all fish"
"22","point contact","+4x impact","significant & positive",0.669666666666667,"quart","sessile invert","all sessile inverts"
"23","point contact","no impact","significant & positive",0.118333333333333,"quart","sessile invert","all sessile inverts"
"24","point contact","-4x impact","significant & positive",0,"quart","sessile invert","all sessile inverts"
"25","count","+4x impact","not significant",0.266333333333333,"quart","algae","all algae"
"26","count","no impact","not significant",0.642333333333333,"quart","algae","all algae"
"27","count","-4x impact","not significant",0.286333333333333,"quart","algae","all algae"
"28","count","+4x impact","not significant",0.103666666666667,"quart","mobile Invert","all mobile Inverts"
"29","count","no impact","not significant",0.855666666666667,"quart","mobile Invert","all mobile Inverts"
"30","count","-4x impact","not significant",0.00166666666666667,"quart","mobile Invert","all mobile Inverts"
"31","count","+4x impact","not significant",0.003,"quart","fish","all fish"
"32","count","no impact","not significant",0.904333333333333,"quart","fish","all fish"
"33","count","-4x impact","not significant",0,"quart","fish","all fish"
"34","point contact","+4x impact","not significant",0.111,"quart","sessile invert","all sessile inverts"
"35","point contact","no impact","not significant",0.788666666666667,"quart","sessile invert","all sessile inverts"
"36","point contact","-4x impact","not significant",0.0196666666666667,"quart","sessile invert","all sessile inverts"
"37","count","+4x impact","no convergence",0,"quart","algae","all algae"
"38","count","no impact","no convergence",0,"quart","algae","all algae"
"39","count","-4x impact","no convergence",0,"quart","algae","all algae"
"40","count","+4x impact","no convergence",0,"quart","mobile Invert","all mobile Inverts"
"41","count","no impact","no convergence",0,"quart","mobile Invert","all mobile Inverts"
"42","count","-4x impact","no convergence",0,"quart","mobile Invert","all mobile Inverts"
"43","count","+4x impact","no convergence",0.00166666666666667,"quart","fish","all fish"
"44","count","no impact","no convergence",0.000666666666666667,"quart","fish","all fish"
"45","count","-4x impact","no convergence",0.00266666666666667,"quart","fish","all fish"
"46","point contact","+4x impact","no convergence",0.214666666666667,"quart","sessile invert","all sessile inverts"
"47","point contact","no impact","no convergence",0,"quart","sessile invert","all sessile inverts"
"48","point contact","-4x impact","no convergence",0,"quart","sessile invert","all sessile inverts"
"49","count","+4x impact","insufficient data",0,"quart","algae","all algae"
"50","count","no impact","insufficient data",0,"quart","algae","all algae"
"51","count","-4x impact","insufficient data",0,"quart","algae","all algae"
"52","count","+4x impact","insufficient data",0,"quart","mobile Invert","all mobile Inverts"
"53","count","no impact","insufficient data",0,"quart","mobile Invert","all mobile Inverts"
"54","count","-4x impact","insufficient data",0,"quart","mobile Invert","all mobile Inverts"
"55","count","+4x impact","insufficient data",0,"quart","fish","all fish"
"56","count","no impact","insufficient data",0,"quart","fish","all fish"
"57","count","-4x impact","insufficient data",0,"quart","fish","all fish"
"58","point contact","+4x impact","insufficient data",0,"quart","sessile invert","all sessile inverts"
"59","point contact","no impact","insufficient data",0,"quart","sessile invert","all sessile inverts"
"60","point contact","-4x impact","insufficient data",0,"quart","sessile invert","all sessile inverts"
